shares,category,weekday,num_videos,num_imgs,num_keywords,n_tokens_title,n_tokens_content,kwshares_avg
593,entertainment,monday,0,1,5,12,219,0
711,business,monday,0,1,4,9,255,0
1500,business,monday,0,1,6,9,211,0
1200,entertainment,monday,0,1,7,9,531,0
505,tech,monday,0,20,7,13,1072,0
855,tech,monday,0,0,9,10,370,0
556,lifestyle,monday,0,20,10,8,960,0
891,tech,monday,0,20,9,12,989,0
3600,tech,monday,0,0,7,11,97,0
710,world,monday,1,1,5,10,231,0
2200,world,monday,0,1,8,9,1248,0
1900,lifestyle,monday,0,1,7,10,187,0
823,world,monday,0,11,8,9,274,0
10000,world,monday,21,0,6,9,285,0
761,world,monday,0,9,7,8,259,0
1600,world,monday,0,1,6,12,682,0
13600,world,monday,1,12,5,8,1118,0
3100,business,monday,0,1,6,8,397,0
5700,lifestyle,monday,0,1,6,11,103,0
17100,tech,monday,0,42,8,8,1207,0
2800,tech,monday,0,20,10,13,1248,0
598,world,monday,1,1,7,9,391,0
445,tech,monday,0,20,7,11,1154,0
1500,world,monday,0,1,6,11,125,0
852,business,monday,0,1,4,13,244,0
783,tech,monday,0,1,10,8,266,0
1500,tech,monday,0,1,9,8,331,0
1800,tech,monday,0,28,9,12,1225,0
462,lifestyle,monday,0,0,10,10,243,0
425,business,monday,0,1,6,11,723,0
3200,business,monday,1,1,7,8,708,0
3900,tech,monday,0,19,7,10,633,0
480,tech,monday,0,14,9,14,290,0
573,world,monday,0,1,6,10,597,0
3600,lifestyle,monday,0,1,8,8,204,0
343,lifestyle,monday,0,1,10,11,315,0
7700,tech,monday,0,20,10,10,1244,0
2600,socialmedia,monday,1,0,9,8,257,0
504,world,monday,0,1,6,11,799,0
2100,entertainment,monday,1,0,6,14,194,0
1100,tech,monday,0,20,9,10,1036,0
401,tech,monday,0,1,8,6,174,0
4200,tech,monday,0,42,7,14,1237,0
1200,tech,monday,0,20,10,10,1081,0
1500,tech,monday,0,20,8,9,1022,0
575,business,monday,0,1,5,10,142,0
507,lifestyle,monday,0,20,8,10,1190,0
1200,entertainment,monday,6,0,10,12,161,0
695,tech,monday,0,20,9,11,1108,0
1200,tech,monday,0,20,8,11,1089,0
4900,tech,monday,1,0,10,11,214,0
382,tech,monday,0,20,8,9,944,0
400,tech,monday,0,20,9,9,1030,0
4600,entertainment,monday,0,1,6,11,454,0
2400,tech,monday,0,20,8,9,1115,0
1600,tech,monday,0,1,10,10,555,0
1100,world,monday,0,1,7,9,474,0
1300,tech,monday,0,0,9,8,130,0
819,business,monday,0,23,10,12,444,0
585,tech,monday,1,10,6,9,280,0
536,tech,monday,0,19,10,13,1024,0
834,tech,monday,0,1,9,12,238,0
645,tech,monday,0,20,7,9,1070,0
598,tech,monday,0,4,9,12,463,0
217,tech,monday,0,20,9,11,1005,0
3200,tech,monday,0,1,8,8,403,0
545,tech,monday,1,1,9,7,251,0
1800,world,monday,0,1,5,11,317,0
1200,entertainment,monday,0,1,9,12,177,0
732,business,monday,0,1,6,6,109,0
1200,world,monday,0,1,7,11,399,0
2800,tech,monday,0,1,10,13,460,0
495,world,monday,0,1,6,9,443,0
690,socialmedia,monday,0,11,10,8,218,0
1300,tech,monday,0,20,8,12,988,0
552,lifestyle,monday,0,1,8,6,374,0
631,entertainment,monday,1,12,10,5,356,0
4800,socialmedia,monday,1,1,7,9,1226,0
851,socialmedia,monday,0,1,6,10,1121,0
755,world,tuesday,0,0,6,12,288,804.38031
468,world,tuesday,0,1,6,10,414,728.23029
4600,tech,tuesday,0,9,10,11,134,1184.5601
1300,entertainment,tuesday,0,1,4,11,281,1114.024
1200,lifestyle,tuesday,0,1,10,12,499,884.85199
1100,tech,tuesday,0,9,10,9,268,1191.1591
1500,tech,tuesday,0,20,8,7,925,1539.4172
2400,world,tuesday,0,16,7,10,261,1399.6923
1200,business,tuesday,0,1,10,13,306,1802.9729
1700,entertainment,tuesday,1,1,5,10,909,678.22327
1200,tech,tuesday,0,20,7,12,999,1466.2104
500,tech,tuesday,0,20,7,12,1011,1645.5334
455,entertainment,wednesday,0,13,6,10,413,707.24072
1100,tech,wednesday,0,0,7,9,180,1516.0406
459,business,wednesday,0,1,6,9,759,649.60742
1400,tech,wednesday,0,1,8,13,1226,1048.3103
6400,entertainment,wednesday,0,1,5,6,241,848.6889
4800,socialmedia,wednesday,0,11,9,9,168,831.5105
695,tech,wednesday,0,19,8,10,1121,1777.3306
341,world,wednesday,0,1,8,7,1174,858.14307
1900,entertainment,wednesday,11,0,9,7,376,1030.2239
1200,world,wednesday,1,0,6,9,142,3318.094
450,world,wednesday,0,19,10,9,825,1775.3719
663,tech,wednesday,0,19,8,9,883,1596.9531
302,tech,wednesday,0,19,10,6,1125,1740.7798
971,world,wednesday,0,1,6,10,498,1232.3812
1400,world,wednesday,0,10,10,12,540,1047.3977
1000,entertainment,wednesday,0,1,8,12,855,512.05554
1900,lifestyle,wednesday,0,0,6,11,223,1206.9574
1100,entertainment,wednesday,0,1,5,11,349,935.48889
1100,lifestyle,wednesday,0,20,10,7,1007,1487.9109
1500,entertainment,wednesday,1,8,6,13,464,785.29816
2000,business,wednesday,0,1,4,9,233,801.91113
5700,world,wednesday,1,0,6,9,167,3312.7332
7100,world,wednesday,1,10,8,11,825,3788.0518
1200,lifestyle,wednesday,0,20,10,11,1099,1159.5599
705,tech,wednesday,0,0,10,7,263,1225.8428
1900,business,wednesday,0,1,5,10,468,641.52887
3800,world,wednesday,0,11,6,7,346,1437.0157
